"leaving_cert_year","leaving_cert_paper","leaving_cert_grade","points"
1992,"Higher","A1",100
1992,"Higher","A2",88
1992,"Higher","B1",88
1992,"Higher","B2",77
1992,"Higher","B3",77
1992,"Higher","C1",66
1992,"Higher","C2",66
1992,"Higher","C3",56
1992,"Higher","D1",56
1992,"Higher","D2",46
1992,"Higher","D3",46
1992,"Higher","E",33
1992,"Higher","F",0
1992,"Higher","NG",0
1992,"Ordinary","A1",56
1992,"Ordinary","A2",46
1992,"Ordinary","B1",46
1992,"Ordinary","B2",37
1992,"Ordinary","B3",37
1992,"Ordinary","C1",28
1992,"Ordinary","C2",28
1992,"Ordinary","C3",20
1992,"Ordinary","D1",20
1992,"Ordinary","D2",12
1992,"Ordinary","D3",12
1992,"Ordinary","E",0
1992,"Ordinary","F",0
1992,"Ordinary","NG",0
1993,"Higher","A1",100
1993,"Higher","A2",88
1993,"Higher","B1",88
1993,"Higher","B2",77
1993,"Higher","B3",77
1993,"Higher","C1",66
1993,"Higher","C2",66
1993,"Higher","C3",56
1993,"Higher","D1",56
1993,"Higher","D2",46
1993,"Higher","D3",46
1993,"Higher","E",33
1993,"Higher","F",0
1993,"Higher","NG",0
1993,"Ordinary","A1",56
1993,"Ordinary","A2",46
1993,"Ordinary","B1",46
1993,"Ordinary","B2",37
1993,"Ordinary","B3",37
1993,"Ordinary","C1",28
1993,"Ordinary","C2",28
1993,"Ordinary","C3",20
1993,"Ordinary","D1",20
1993,"Ordinary","D2",12
1993,"Ordinary","D3",12
1993,"Ordinary","E",0
1993,"Ordinary","F",0
1993,"Ordinary","NG",0
1994,"Higher","A1",100
1994,"Higher","A2",88
1994,"Higher","B1",88
1994,"Higher","B2",77
1994,"Higher","B3",77
1994,"Higher","C1",66
1994,"Higher","C2",66
1994,"Higher","C3",56
1994,"Higher","D1",56
1994,"Higher","D2",46
1994,"Higher","D3",46
1994,"Higher","E",33
1994,"Higher","F",0
1994,"Higher","NG",0
1994,"Ordinary","A1",56
1994,"Ordinary","A2",46
1994,"Ordinary","B1",46
1994,"Ordinary","B2",37
1994,"Ordinary","B3",37
1994,"Ordinary","C1",28
1994,"Ordinary","C2",28
1994,"Ordinary","C3",20
1994,"Ordinary","D1",20
1994,"Ordinary","D2",12
1994,"Ordinary","D3",12
1994,"Ordinary","E",0
1994,"Ordinary","F",0
1994,"Ordinary","NG",0
1995,"Higher","A1",100
1995,"Higher","A2",88
1995,"Higher","B1",88
1995,"Higher","B2",77
1995,"Higher","B3",77
1995,"Higher","C1",66
1995,"Higher","C2",66
1995,"Higher","C3",56
1995,"Higher","D1",56
1995,"Higher","D2",46
1995,"Higher","D3",46
1995,"Higher","E",33
1995,"Higher","F",0
1995,"Higher","NG",0
1995,"Ordinary","A1",56
1995,"Ordinary","A2",46
1995,"Ordinary","B1",46
1995,"Ordinary","B2",37
1995,"Ordinary","B3",37
1995,"Ordinary","C1",28
1995,"Ordinary","C2",28
1995,"Ordinary","C3",20
1995,"Ordinary","D1",20
1995,"Ordinary","D2",12
1995,"Ordinary","D3",12
1995,"Ordinary","E",0
1995,"Ordinary","F",0
1995,"Ordinary","NG",0
1996,"Higher","A1",100
1996,"Higher","A2",88
1996,"Higher","B1",88
1996,"Higher","B2",77
1996,"Higher","B3",77
1996,"Higher","C1",66
1996,"Higher","C2",66
1996,"Higher","C3",56
1996,"Higher","D1",56
1996,"Higher","D2",46
1996,"Higher","D3",46
1996,"Higher","E",33
1996,"Higher","F",0
1996,"Higher","NG",0
1996,"Ordinary","A1",56
1996,"Ordinary","A2",46
1996,"Ordinary","B1",46
1996,"Ordinary","B2",37
1996,"Ordinary","B3",37
1996,"Ordinary","C1",28
1996,"Ordinary","C2",28
1996,"Ordinary","C3",20
1996,"Ordinary","D1",20
1996,"Ordinary","D2",12
1996,"Ordinary","D3",12
1996,"Ordinary","E",0
1996,"Ordinary","F",0
1996,"Ordinary","NG",0
1997,"Higher","A1",100
1997,"Higher","A2",88
1997,"Higher","B1",88
1997,"Higher","B2",77
1997,"Higher","B3",77
1997,"Higher","C1",66
1997,"Higher","C2",66
1997,"Higher","C3",56
1997,"Higher","D1",56
1997,"Higher","D2",46
1997,"Higher","D3",46
1997,"Higher","E",33
1997,"Higher","F",0
1997,"Higher","NG",0
1997,"Ordinary","A1",56
1997,"Ordinary","A2",46
1997,"Ordinary","B1",46
1997,"Ordinary","B2",37
1997,"Ordinary","B3",37
1997,"Ordinary","C1",28
1997,"Ordinary","C2",28
1997,"Ordinary","C3",20
1997,"Ordinary","D1",20
1997,"Ordinary","D2",12
1997,"Ordinary","D3",12
1997,"Ordinary","E",0
1997,"Ordinary","F",0
1997,"Ordinary","NG",0
1998,"Higher","A1",100
1998,"Higher","A2",88
1998,"Higher","B1",88
1998,"Higher","B2",77
1998,"Higher","B3",77
1998,"Higher","C1",66
1998,"Higher","C2",66
1998,"Higher","C3",56
1998,"Higher","D1",56
1998,"Higher","D2",46
1998,"Higher","D3",46
1998,"Higher","E",33
1998,"Higher","F",0
1998,"Higher","NG",0
1998,"Ordinary","A1",56
1998,"Ordinary","A2",46
1998,"Ordinary","B1",46
1998,"Ordinary","B2",37
1998,"Ordinary","B3",37
1998,"Ordinary","C1",28
1998,"Ordinary","C2",28
1998,"Ordinary","C3",20
1998,"Ordinary","D1",20
1998,"Ordinary","D2",12
1998,"Ordinary","D3",12
1998,"Ordinary","E",0
1998,"Ordinary","F",0
1998,"Ordinary","NG",0
1999,"Higher","A1",100
1999,"Higher","A2",88
1999,"Higher","B1",88
1999,"Higher","B2",77
1999,"Higher","B3",77
1999,"Higher","C1",66
1999,"Higher","C2",66
1999,"Higher","C3",56
1999,"Higher","D1",56
1999,"Higher","D2",46
1999,"Higher","D3",46
1999,"Higher","E",33
1999,"Higher","F",0
1999,"Higher","NG",0
1999,"Ordinary","A1",56
1999,"Ordinary","A2",46
1999,"Ordinary","B1",46
1999,"Ordinary","B2",37
1999,"Ordinary","B3",37
1999,"Ordinary","C1",28
1999,"Ordinary","C2",28
1999,"Ordinary","C3",20
1999,"Ordinary","D1",20
1999,"Ordinary","D2",12
1999,"Ordinary","D3",12
1999,"Ordinary","E",0
1999,"Ordinary","F",0
1999,"Ordinary","NG",0
2000,"Higher","A1",100
2000,"Higher","A2",88
2000,"Higher","B1",88
2000,"Higher","B2",77
2000,"Higher","B3",77
2000,"Higher","C1",66
2000,"Higher","C2",66
2000,"Higher","C3",56
2000,"Higher","D1",56
2000,"Higher","D2",46
2000,"Higher","D3",46
2000,"Higher","E",33
2000,"Higher","F",0
2000,"Higher","NG",0
2000,"Ordinary","A1",56
2000,"Ordinary","A2",46
2000,"Ordinary","B1",46
2000,"Ordinary","B2",37
2000,"Ordinary","B3",37
2000,"Ordinary","C1",28
2000,"Ordinary","C2",28
2000,"Ordinary","C3",20
2000,"Ordinary","D1",20
2000,"Ordinary","D2",12
2000,"Ordinary","D3",12
2000,"Ordinary","E",0
2000,"Ordinary","F",0
2000,"Ordinary","NG",0
2001,"Higher","A1",100
2001,"Higher","A2",88
2001,"Higher","B1",88
2001,"Higher","B2",77
2001,"Higher","B3",77
2001,"Higher","C1",66
2001,"Higher","C2",66
2001,"Higher","C3",56
2001,"Higher","D1",56
2001,"Higher","D2",46
2001,"Higher","D3",46
2001,"Higher","E",33
2001,"Higher","F",0
2001,"Higher","NG",0
2001,"Ordinary","A1",56
2001,"Ordinary","A2",46
2001,"Ordinary","B1",46
2001,"Ordinary","B2",37
2001,"Ordinary","B3",37
2001,"Ordinary","C1",28
2001,"Ordinary","C2",28
2001,"Ordinary","C3",20
2001,"Ordinary","D1",20
2001,"Ordinary","D2",12
2001,"Ordinary","D3",12
2001,"Ordinary","E",0
2001,"Ordinary","F",0
2001,"Ordinary","NG",0
2002,"Higher","A1",100
2002,"Higher","A2",88
2002,"Higher","B1",88
2002,"Higher","B2",77
2002,"Higher","B3",77
2002,"Higher","C1",66
2002,"Higher","C2",66
2002,"Higher","C3",56
2002,"Higher","D1",56
2002,"Higher","D2",46
2002,"Higher","D3",46
2002,"Higher","E",33
2002,"Higher","F",0
2002,"Higher","NG",0
2002,"Ordinary","A1",56
2002,"Ordinary","A2",46
2002,"Ordinary","B1",46
