Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: Irish_Stripped,Spreadsheet: display,Spreadsheet: randomise_trials,Store: progress,Store: test_progress
1,1788536695310,04/09/2026 15:44:55,1788536695310,1,04/09/2026 16:44:55,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,,,,,,info,BEGIN,,,,,,,,0,,,,,,,,,,,,,,
2,1788536697788,04/09/2026 15:44:57,1788536697788,1,04/09/2026 16:44:57,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,1,Instructions,Instructions,q2ev2v,1,continue,,,2492.6000000029803,2484.3,2492.6000000029803,2492.6000000029803,2484.3,2492.6000000029803,1,0,0,,Click To Continue,Continue Button,2,object-6,,,,Instructions,,,
3,1788536700262,04/09/2026 15:45:00,1788536700262,1,04/09/2026 16:45:00,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,1,Instructions,Practice Trial 1,oyq5am,2,continue,,,2481.80000000298,2475.1,2481.80000000298,2481.80000000298,2475.1,2481.80000000298,1,0,0,,Click To Continue,Continue Button,3,object-26,,,,Instructions,,,
4,1788536700262,04/09/2026 15:45:00,1788536700262,1,04/09/2026 16:45:00,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,1,Instructions,Practice Trial 1,oyq5am,2,response,ta,,1316.7999999999997,2475.1,2483.1,1316.7999999999997,2475.1,2483.1,1,1166.3000000000002,0,,Text Entry,Response,2,object-15,,,,Instructions,,,
5,1788536704401,04/09/2026 15:45:04,1788536704401,1,04/09/2026 16:45:04,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,1,Instructions,Practice Trial 2,bjjhlz,3,continue,,,4146.899999991059,4141.4,4146.899999991059,4146.899999991059,4141.4,4146.899999991059,1,0,0,,Click To Continue,Continue Button,3,object-34,,,,Instructions,,,
6,1788536704401,04/09/2026 15:45:04,1788536704401,1,04/09/2026 16:45:04,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,1,Instructions,Practice Trial 2,bjjhlz,3,response,nil,,725,4141.4,4147.29999999702,725,4141.4,4147.29999999702,1,3422.2999999970198,0,,Text Entry,Response,2,object-33,,,,Instructions,,,
7,1788536705894,04/09/2026 15:45:05,1788536705894,1,04/09/2026 16:45:05,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,1,Instructions,Wait,mvzljs,4,timedOut,,,1498.3999999970201,1498,1498.3999999970201,1498.3999999970201,1498,1498.3999999970201,1,0,0,,Time Limit,screen,0,screen,,,,Instructions,,,
8,1788536708451,04/09/2026 15:45:08,1788536708451,1,04/09/2026 16:45:08,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,1,Trial,Trial,3yj36p,1,continue,,,2557.19999999404,2552.1000000000004,2557.19999999404,2557.19999999404,2552.1000000000004,2557.19999999404,0,0,0,,Click To Continue,Continue Button,3,object-17,care/attention,aire,aire,Trial,1,,
9,1788536708451,04/09/2026 15:45:08,1788536708451,1,04/09/2026 16:45:08,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,1,Trial,Trial,3yj36p,1,response,,,2557.9999999910597,2552.1000000000004,2557.9999999910597,2557.9999999910597,2552.1000000000004,2557.9999999910597,0,0,0,,Text Entry,Response,2,object-16,care/attention,aire,aire,Trial,1,,
10,1788536712381,04/09/2026 15:45:12,1788536712381,1,04/09/2026 16:45:12,279099,18,task-3js1,,58068477,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 1,10,recall_round_1,recall_round_1,2,Trial,Trial,3yj36p,1,continue,,,3935,3932.5,3935,3935,3932.5,3935,0,0,0,,Click To Continue,Continue Button,3,object-17,weather,aimsir,aimsir,Trial,1,,
