Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: display,Store: spreadsheet
1,1788536897305,04/09/2026 15:48:17,1788536897305,1,04/09/2026 16:48:17,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,,,,,,info,BEGIN,,,,,,,,0,,,,,,,,,,,
2,1788536902358,04/09/2026 15:48:22,1788536902358,1,04/09/2026 16:48:22,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,1,Instructions,Instructions,7tnzfp,1,continue,,,5062.80799999106,5059.408,5062.80799999106,5062.80799999106,5059.408,5062.80799999106,1,0,0,,Click To Continue,Continue Button,2,object-15,,,Instructions,
3,1788536902456,04/09/2026 15:48:22,1788536902456,1,04/09/2026 16:48:22,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,1,Trial,Check,hy52gd,1,response,checked,,101.69999999999982,101.69999999999982,101.69999999999982,101.69999999999982,101.69999999999982,101.69999999999982,1,0,0,,Time Limit,screen,0,screen,house,teach,Trial,
4,1788536902556,04/09/2026 15:48:22,1788536902556,1,04/09/2026 16:48:22,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,2,Trial,Check,hy52gd,1,response,checked,,100.19999999999982,100.19999999999982,100.19999999999982,100.19999999999982,100.19999999999982,100.19999999999982,1,0,0,,Time Limit,screen,0,screen,woman,bean,Trial,
5,1788536902655,04/09/2026 15:48:22,1788536902655,1,04/09/2026 16:48:22,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,3,Trial,Check,hy52gd,1,response,checked,,99.10000000000036,99.10000000000036,99.10000000000036,99.10000000000036,99.10000000000036,99.10000000000036,1,0,0,,Time Limit,screen,0,screen,school,scoil,Trial,
6,1788536902757,04/09/2026 15:48:22,1788536902757,1,04/09/2026 16:48:22,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,4,Trial,Check,hy52gd,1,response,checked,,101.5,101.5,101.5,101.5,101.5,101.5,1,0,0,,Time Limit,screen,0,screen,book,leabhar,Trial,
7,1788536909288,04/09/2026 15:48:29,1788536909288,1,04/09/2026 16:48:29,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,4,Trial,Trial,3izpks,2,continue,,,6530.5999999940395,6522.9,6530.5999999940395,6530.5999999940395,6522.9,6530.5999999940395,0,0,0,,Click To Continue,Continue Button,3,object-8,book,leabhar,Trial,
8,1788536909291,04/09/2026 15:48:29,1788536909291,1,04/09/2026 16:48:29,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,4,Trial,Trial,3izpks,2,response,book,,4707.5,6522.9,6531.5999999999985,4707.5,6522.9,6531.5999999999985,1,1824.0999999999985,0,,Text Entry,Text Entry,2,object-4,book,leabhar,Trial,
9,1788536909381,04/09/2026 15:48:29,1788536909381,1,04/09/2026 16:48:29,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,5,Trial,Check,hy52gd,1,response,checked,,101.39999999999964,101.39999999999964,101.39999999999964,101.39999999999964,101.39999999999964,101.39999999999964,1,0,0,,Time Limit,screen,0,screen,hand,lámh,Trial,
10,1788536909481,04/09/2026 15:48:29,1788536909481,1,04/09/2026 16:48:29,279099,18,task-vl4k,,58068510,,16572762,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1271x873,,,0,Recall Trial Round 2,13,recall_trial_round_2,recall_trial_round_2,6,Trial,Check,hy52gd,1,response,checked,,99.10000000000036,99.10000000000036,99.10000000000036,99.10000000000036,99.10000000000036,99.10000000000036,1,0,0,,Time Limit,screen,0,screen,money,airgead,Trial,
