Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: undefined,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1788880736864,08/09/2026 15:18:56,1788880736864,1,08/09/2026 16:18:56,279099,23,questionnaire-cimk,,58116514,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Questionnaire,9,,,,,,info,,BEGIN,,,,,,
2,1788881635277,08/09/2026 15:33:55,1788881635277,1,08/09/2026 16:33:55,279099,23,questionnaire-cimk,,58116514,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Questionnaire,9,,Page 1,y7zg2f,1,,continue,,,,,,screen,0,screen
3,1788881635280,08/09/2026 15:33:55,1788881635280,1,08/09/2026 16:33:55,279099,23,questionnaire-cimk,,58116514,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Questionnaire,9,,Page 1,y7zg2f,1,What is your age?,action,value,31,,,,Number Entry,1,object-5
4,1788881635280,08/09/2026 15:33:55,1788881635280,1,08/09/2026 16:33:55,279099,23,questionnaire-cimk,,58116514,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Questionnaire,9,,Page 1,y7zg2f,1,What is your gender?,action,value,Male,,,Female|Male|Non-binary|Prefer not to say,Dropdown,2,object-6
5,1788881635281,08/09/2026 15:33:55,1788881635281,1,08/09/2026 16:33:55,279099,23,questionnaire-cimk,,58116514,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Questionnaire,9,,Page 1,y7zg2f,1,What is your gender?,action,quantised,2,,,Female|Male|Non-binary|Prefer not to say,Dropdown,2,object-6
6,1788881635281,08/09/2026 15:33:55,1788881635281,1,08/09/2026 16:33:55,279099,23,questionnaire-cimk,,58116514,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Questionnaire,9,,Page 1,y7zg2f,1,What is your current region of residence?,action,value,Munster,,,Leinster|Munster|Connacht|Ulster,Dropdown,3,object-7
7,1788881635281,08/09/2026 15:33:55,1788881635281,1,08/09/2026 16:33:55,279099,23,questionnaire-cimk,,58116514,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Questionnaire,9,,Page 1,y7zg2f,1,What is your current region of residence?,action,quantised,2,,,Leinster|Munster|Connacht|Ulster,Dropdown,3,object-7
8,1788881635281,08/09/2026 15:33:55,1788881635281,1,08/09/2026 16:33:55,279099,23,questionnaire-cimk,,58116514,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Questionnaire,9,,Page 1,y7zg2f,1,"Did you grow up speaking Irish as a first language at home (e.g. in a Gaeltacht household), or did you learn it as a second language at school?",action,value,"Second language, learned at school",,,"First language at home|Second language, learned at school|A mix of both",Dropdown,4,object-8
9,1788881635281,08/09/2026 15:33:55,1788881635281,1,08/09/2026 16:33:55,279099,23,questionnaire-cimk,,58116514,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Questionnaire,9,,Page 1,y7zg2f,1,"Did you grow up speaking Irish as a first language at home (e.g. in a Gaeltacht household), or did you learn it as a second language at school?",action,quantised,2,,,"First language at home|Second language, learned at school|A mix of both",Dropdown,4,object-8
10,1788881635282,08/09/2026 15:33:55,1788881635282,1,08/09/2026 16:33:55,279099,23,questionnaire-cimk,,58116514,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Questionnaire,9,,Page 1,y7zg2f,1,At what age did you begin learning Irish?,action,value,5,,,,Number Entry,5,object-9
