Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: Irish_Stripped,Spreadsheet: display,Spreadsheet: randomise_trials,Store: progress,Store: test_progress
1,1788880516641,08/09/2026 15:15:16,1788880516641,1,08/09/2026 16:15:16,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,,,,,,info,BEGIN,,,,,,,,0,,,,,,,,,,,,,,
2,1788880517798,08/09/2026 15:15:17,1788880517798,1,08/09/2026 16:15:17,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,1,Instructions,Instructions,q2ev2v,1,continue,,,1172.522,1165.2219999999998,1172.522,1172.522,1165.2219999999998,1172.522,1,0,0,,Click To Continue,Continue Button,2,object-6,,,,Instructions,,,
3,1788880519830,08/09/2026 15:15:19,1788880519830,1,08/09/2026 16:15:19,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,1,Instructions,Practice Trial 1,oyq5am,2,continue,,,2039.7000000059606,2034.5,2039.7000000059606,2039.7000000059606,2034.5,2039.7000000059606,1,0,0,,Click To Continue,Continue Button,3,object-26,,,,Instructions,,,
4,1788880519830,08/09/2026 15:15:19,1788880519830,1,08/09/2026 16:15:19,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,1,Instructions,Practice Trial 1,oyq5am,2,response,ta,,1309.1000000000004,2034.5,2040.3000000000002,1309.1000000000004,2034.5,2040.3000000000002,1,731.1999999999998,0,,Text Entry,Response,2,object-15,,,,Instructions,,,
5,1788880521471,08/09/2026 15:15:21,1788880521471,1,08/09/2026 16:15:21,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,1,Instructions,Practice Trial 2,bjjhlz,3,continue,,,1646.7000000059606,1641.8000000000002,1646.7000000059606,1646.7000000059606,1641.8000000000002,1646.7000000059606,1,0,0,,Click To Continue,Continue Button,3,object-34,,,,Instructions,,,
6,1788880521472,08/09/2026 15:15:21,1788880521472,1,08/09/2026 16:15:21,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,1,Instructions,Practice Trial 2,bjjhlz,3,response,nil,,657.9000000000005,1641.8000000000002,1647.2000000059606,657.9000000000005,1641.8000000000002,1647.2000000059606,1,989.3000000059601,0,,Text Entry,Response,2,object-33,,,,Instructions,,,
7,1788880522964,08/09/2026 15:15:22,1788880522964,1,08/09/2026 16:15:22,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,1,Instructions,Wait,mvzljs,4,timedOut,,,1498,1497.6000000000004,1498,1498,1497.6000000000004,1498,1,0,0,,Time Limit,screen,0,screen,,,,Instructions,,,
8,1788880524807,08/09/2026 15:15:24,1788880524807,1,08/09/2026 16:15:24,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,1,Trial,Trial,3yj36p,1,continue,,,1840.8999999999996,1835.1000000000004,1840.8999999999996,1840.8999999999996,1835.1000000000004,1840.8999999999996,0,0,0,,Click To Continue,Continue Button,3,object-17,care/attention,aire,aire,Trial,1,,
9,1788880524807,08/09/2026 15:15:24,1788880524807,1,08/09/2026 16:15:24,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,1,Trial,Trial,3yj36p,1,response,,,1843.0999999880787,1835.1000000000004,1843.0999999880787,1843.0999999880787,1835.1000000000004,1843.0999999880787,0,0,0,,Text Entry,Response,2,object-16,care/attention,aire,aire,Trial,1,,
10,1788880527351,08/09/2026 15:15:27,1788880527351,1,08/09/2026 16:15:27,279099,23,task-3js1,,58116460,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 1,14,recall_round_1,recall_round_1,2,Trial,Trial,3yj36p,1,continue,,,2551.399999994039,2550.5,2551.399999994039,2551.399999994039,2550.5,2551.399999994039,0,0,0,,Click To Continue,Continue Button,3,object-17,poor,bocht,bocht,Trial,1,,
