Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Context,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: English,Spreadsheet: Irish,Spreadsheet: display,Store: spreadsheet
1,1788880670256,08/09/2026 15:17:50,1788880670256,1,08/09/2026 16:17:50,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,,,,,,info,BEGIN,,,,,,,,0,,,,,,,,,,,
2,1788880675447,08/09/2026 15:17:55,1788880675447,1,08/09/2026 16:17:55,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,1,Instructions,Instructions,7tnzfp,1,continue,,,5201.399999976158,5195.2,5201.399999976158,5201.399999976158,5195.2,5201.399999976158,1,0,0,,Click To Continue,Continue Button,2,object-15,,,Instructions,
3,1788880675542,08/09/2026 15:17:55,1788880675542,1,08/09/2026 16:17:55,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,1,Trial,Check,hy52gd,1,response,checked,,100.40000000000055,100.40000000000055,100.40000000000055,100.40000000000055,100.40000000000055,100.40000000000055,1,0,0,,Time Limit,screen,0,screen,house,teach,Trial,
4,1788880675642,08/09/2026 15:17:55,1788880675642,1,08/09/2026 16:17:55,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,2,Trial,Check,hy52gd,1,response,checked,,100,100,100,100,100,100,1,0,0,,Time Limit,screen,0,screen,woman,bean,Trial,
5,1788880675741,08/09/2026 15:17:55,1788880675741,1,08/09/2026 16:17:55,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,3,Trial,Check,hy52gd,1,response,checked,,100,100,100,100,100,100,1,0,0,,Time Limit,screen,0,screen,school,scoil,Trial,
6,1788880675842,08/09/2026 15:17:55,1788880675842,1,08/09/2026 16:17:55,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,4,Trial,Check,hy52gd,1,response,checked,,100.09999999999945,100.09999999999945,100.09999999999945,100.09999999999945,100.09999999999945,100.09999999999945,1,0,0,,Time Limit,screen,0,screen,book,leabhar,Trial,
7,1788880680143,08/09/2026 15:18:00,1788880680143,1,08/09/2026 16:18:00,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,4,Trial,Trial,3izpks,2,continue,,,4300.89999999404,4295.8,4300.89999999404,4300.89999999404,4295.8,4300.89999999404,0,0,0,,Click To Continue,Continue Button,3,object-8,book,leabhar,Trial,
8,1788880680143,08/09/2026 15:18:00,1788880680143,1,08/09/2026 16:18:00,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,4,Trial,Trial,3izpks,2,response,book,,2515.000000000001,4295.8,4301.999999988079,2515.000000000001,4295.8,4301.999999988079,1,1786.9999999880783,0,,Text Entry,Text Entry,2,object-4,book,leabhar,Trial,
9,1788880680237,08/09/2026 15:18:00,1788880680237,1,08/09/2026 16:18:00,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,5,Trial,Check,hy52gd,1,response,checked,,99.89999999999964,99.89999999999964,99.89999999999964,99.89999999999964,99.89999999999964,99.89999999999964,1,0,0,,Time Limit,screen,0,screen,hand,lámh,Trial,
10,1788880680338,08/09/2026 15:18:00,1788880680338,1,08/09/2026 16:18:00,279099,23,task-vl4k,,58116499,,16586393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 152.0.0.0,1728x1117,1245x873,,,0,Recall Trial Round 2,14,recall_trial_round_2,recall_trial_round_2,6,Trial,Check,hy52gd,1,response,checked,,99.5,99.5,99.5,99.5,99.5,99.5,1,0,0,,Time Limit,screen,0,screen,money,airgead,Trial,
