participant_id,item_id,category,word_length,freq_rank,retention_level,proficiency_score,exposure_composite,integrative_motivation_composite,multilingualism_count
16602608,1,concrete_noun,5,79,2,NA,2,4.25,0
16602608,2,concrete_noun,4,92,1,NA,2,4.25,0
16602608,3,concrete_noun,5,107,2,NA,2,4.25,0
16602608,4,concrete_noun,7,139,2,NA,2,4.25,0
16602608,5,concrete_noun,4,144,2,NA,2,4.25,0
16602608,6,concrete_noun,7,157,2,NA,2,4.25,0
16602608,7,concrete_noun,4,158,2,NA,2,4.25,0
16602608,8,concrete_noun,5,217,2,NA,2,4.25,0
16602608,9,concrete_noun,6,220,0,NA,2,4.25,0
16602608,10,concrete_noun,7,238,0,NA,2,4.25,0
16602608,11,concrete_noun,5,243,2,NA,2,4.25,0
16602608,12,concrete_noun,3,249,2,NA,2,4.25,0
16602608,13,concrete_noun,4,258,2,NA,2,4.25,0
16602608,14,concrete_noun,9,310,2,NA,2,4.25,0
16602608,15,concrete_noun,3,384,2,NA,2,4.25,0
16602608,16,abstract_noun,6,39,2,NA,2,4.25,0
16602608,17,abstract_noun,2,59,2,NA,2,4.25,0
16602608,18,abstract_noun,5,72,2,NA,2,4.25,0
16602608,19,abstract_noun,5,83,2,NA,2,4.25,0
16602608,20,abstract_noun,3,84,2,NA,2,4.25,0
16602608,21,abstract_noun,4,85,0,NA,2,4.25,0
16602608,22,abstract_noun,5,89,2,NA,2,4.25,0
16602608,23,abstract_noun,6,115,2,NA,2,4.25,0
16602608,24,abstract_noun,5,126,2,NA,2,4.25,0
16602608,25,abstract_noun,4,127,0,NA,2,4.25,0
16602608,26,abstract_noun,5,132,1,NA,2,4.25,0
16602608,27,abstract_noun,9,142,2,NA,2,4.25,0
16602608,28,abstract_noun,6,278,2,NA,2,4.25,0
16602608,29,abstract_noun,5,381,2,NA,2,4.25,0
16602608,30,abstract_noun,4,456,2,NA,2,4.25,0
16602608,31,verb,4,17,2,NA,2,4.25,0
16602608,32,verb,4,20,1,NA,2,4.25,0
16602608,33,verb,7,24,1,NA,2,4.25,0
16602608,34,verb,3,33,2,NA,2,4.25,0
16602608,35,verb,5,36,1,NA,2,4.25,0
16602608,36,verb,5,41,1,NA,2,4.25,0
16602608,37,verb,4,76,NA,NA,2,4.25,0
16602608,38,verb,4,88,0,NA,2,4.25,0
16602608,39,verb,6,101,0,NA,2,4.25,0
16602608,40,verb,4,119,0,NA,2,4.25,0
16602608,41,verb,5,133,1,NA,2,4.25,0
16602608,42,verb,4,136,1,NA,2,4.25,0
16602608,43,verb,7,140,2,NA,2,4.25,0
16602608,44,verb,5,163,NA,NA,2,4.25,0
16602608,45,verb,7,203,2,NA,2,4.25,0
16602608,46,adjective,5,80,2,NA,2,4.25,0
16602608,47,adjective,2,98,2,NA,2,4.25,0
16602608,48,adjective,2,121,2,NA,2,4.25,0
16602608,49,adjective,4,137,2,NA,2,4.25,0
16602608,50,adjective,3,154,2,NA,2,4.25,0
16602608,51,adjective,6,212,NA,NA,2,4.25,0
16602608,52,adjective,4,305,2,NA,2,4.25,0
16602608,53,adjective,5,315,NA,NA,2,4.25,0
16602608,54,adjective,6,339,2,NA,2,4.25,0
16602608,55,adjective,3,364,2,NA,2,4.25,0
16602608,56,adjective,5,370,2,NA,2,4.25,0
16602608,57,adjective,7,407,1,NA,2,4.25,0
16602608,58,adjective,4,432,2,NA,2,4.25,0
16602608,59,adjective,3,461,0,NA,2,4.25,0
16602608,60,adjective,4,706,2,NA,2,4.25,0
16602609,1,concrete_noun,5,79,2,NA,3,1.5,2
16602609,2,concrete_noun,4,92,2,NA,3,1.5,2
16602609,3,concrete_noun,5,107,2,NA,3,1.5,2
16602609,4,concrete_noun,7,139,2,NA,3,1.5,2
16602609,5,concrete_noun,4,144,1,NA,3,1.5,2
16602609,6,concrete_noun,7,157,2,NA,3,1.5,2
16602609,7,concrete_noun,4,158,2,NA,3,1.5,2
16602609,8,concrete_noun,5,217,2,NA,3,1.5,2
16602609,9,concrete_noun,6,220,1,NA,3,1.5,2
16602609,10,concrete_noun,7,238,2,NA,3,1.5,2
16602609,11,concrete_noun,5,243,2,NA,3,1.5,2
16602609,12,concrete_noun,3,249,1,NA,3,1.5,2
16602609,13,concrete_noun,4,258,1,NA,3,1.5,2
16602609,14,concrete_noun,9,310,2,NA,3,1.5,2
16602609,15,concrete_noun,3,384,1,NA,3,1.5,2
16602609,16,abstract_noun,6,39,2,NA,3,1.5,2
16602609,17,abstract_noun,2,59,2,NA,3,1.5,2
16602609,18,abstract_noun,5,72,0,NA,3,1.5,2
16602609,19,abstract_noun,5,83,2,NA,3,1.5,2
16602609,20,abstract_noun,3,84,2,NA,3,1.5,2
16602609,21,abstract_noun,4,85,0,NA,3,1.5,2
16602609,22,abstract_noun,5,89,0,NA,3,1.5,2
16602609,23,abstract_noun,6,115,2,NA,3,1.5,2
16602609,24,abstract_noun,5,126,1,NA,3,1.5,2
16602609,25,abstract_noun,4,127,0,NA,3,1.5,2
16602609,26,abstract_noun,5,132,0,NA,3,1.5,2
16602609,27,abstract_noun,9,142,2,NA,3,1.5,2
16602609,28,abstract_noun,6,278,2,NA,3,1.5,2
16602609,29,abstract_noun,5,381,0,NA,3,1.5,2
16602609,30,abstract_noun,4,456,2,NA,3,1.5,2
16602609,31,verb,4,17,0,NA,3,1.5,2
16602609,32,verb,4,20,0,NA,3,1.5,2
16602609,33,verb,7,24,1,NA,3,1.5,2
16602609,34,verb,3,33,0,NA,3,1.5,2
16602609,35,verb,5,36,0,NA,3,1.5,2
16602609,36,verb,5,41,0,NA,3,1.5,2
16602609,37,verb,4,76,1,NA,3,1.5,2
16602609,38,verb,4,88,0,NA,3,1.5,2
16602609,39,verb,6,101,0,NA,3,1.5,2
16602609,40,verb,4,119,0,NA,3,1.5,2
16602609,41,verb,5,133,0,NA,3,1.5,2
16602609,42,verb,4,136,0,NA,3,1.5,2
16602609,43,verb,7,140,2,NA,3,1.5,2
16602609,44,verb,5,163,2,NA,3,1.5,2
16602609,45,verb,7,203,0,NA,3,1.5,2
16602609,46,adjective,5,80,2,NA,3,1.5,2
16602609,47,adjective,2,98,2,NA,3,1.5,2
16602609,48,adjective,2,121,1,NA,3,1.5,2
16602609,49,adjective,4,137,1,NA,3,1.5,2
16602609,50,adjective,3,154,2,NA,3,1.5,2
16602609,51,adjective,6,212,0,NA,3,1.5,2
16602609,52,adjective,4,305,2,NA,3,1.5,2
16602609,53,adjective,5,315,NA,NA,3,1.5,2
16602609,54,adjective,6,339,0,NA,3,1.5,2
16602609,55,adjective,3,364,0,NA,3,1.5,2
16602609,56,adjective,5,370,2,NA,3,1.5,2
16602609,57,adjective,7,407,1,NA,3,1.5,2
16602609,58,adjective,4,432,1,NA,3,1.5,2
16602609,59,adjective,3,461,0,NA,3,1.5,2
16602609,60,adjective,4,706,2,NA,3,1.5,2
16602611,1,concrete_noun,5,79,2,NA,1.8,3,0
16602611,2,concrete_noun,4,92,2,NA,1.8,3,0
16602611,3,concrete_noun,5,107,2,NA,1.8,3,0
16602611,4,concrete_noun,7,139,2,NA,1.8,3,0
16602611,5,concrete_noun,4,144,2,NA,1.8,3,0
16602611,6,concrete_noun,7,157,2,NA,1.8,3,0
16602611,7,concrete_noun,4,158,2,NA,1.8,3,0
16602611,8,concrete_noun,5,217,2,NA,1.8,3,0
16602611,9,concrete_noun,6,220,0,NA,1.8,3,0
16602611,10,concrete_noun,7,238,0,NA,1.8,3,0
16602611,11,concrete_noun,5,243,2,NA,1.8,3,0
16602611,12,concrete_noun,3,249,1,NA,1.8,3,0
16602611,13,concrete_noun,4,258,2,NA,1.8,3,0
16602611,14,concrete_noun,9,310,2,NA,1.8,3,0
16602611,15,concrete_noun,3,384,2,NA,1.8,3,0
16602611,16,abstract_noun,6,39,2,NA,1.8,3,0
