participant_id,participant_public_id,participant_status,participant_completion_code,age,gender,gender_quantised,region_residence,region_residence_quantised,irish_l1_status,irish_l1_status_quantised,age_began_learning,informal_exposure_before,informal_exposure_before_quantised,informal_exposure_context,gaeltacht_contact,gaeltacht_contact_quantised,gaeltacht_contact_context,current_use_frequency,current_use_frequency_quantised,irish_related_occupation,irish_related_occupation_quantised,irish_related_occupation_context,is_parent,is_parent_quantised,parent_engagement,parent_engagement_quantised,leaving_cert_year,leaving_cert_year_quantised,leaving_cert_paper,leaving_cert_paper_quantised,no_lc_self_rated_proficiency,no_lc_self_rated_proficiency_quantised,no_lc_context,leaving_cert_grade,leaving_cert_grade_quantised,continued_study_after_lc,continued_study_after_lc_quantised,continued_study_details,exposure_signage_media,exposure_signage_media_quantised,exposure_conversations,exposure_conversations_quantised,exposure_media_consumption,exposure_media_consumption_quantised,exposure_events,exposure_events_quantised,exposure_family_social,exposure_family_social_quantised,integrative_q21,integrative_q21_quantised,integrative_q22,integrative_q22_quantised,integrative_q23,integrative_q23_quantised,integrative_q24,integrative_q24_quantised,instrumental_q25,instrumental_q25_quantised,instrumental_q26,instrumental_q26_quantised,learning_exp_q37,learning_exp_q37_quantised,learning_exp_q38,learning_exp_q38_quantised,learning_exp_q39,learning_exp_q39_quantised,learning_exp_q40,learning_exp_q40_quantised,classroom_anxiety_q41,classroom_anxiety_q41_quantised,classroom_anxiety_q42,classroom_anxiety_q42_quantised,motivation_confidence_q28,motivation_confidence_q28_quantised,parental_encouragement_q43,parental_encouragement_q43_quantised,parental_encouragement_q44,parental_encouragement_q44_quantised,parental_encouragement_q45,parental_encouragement_q45_quantised,parental_encouragement_q46,parental_encouragement_q46_quantised,family_irish_proficiency_parent,family_irish_proficiency_parent_quantised,family_irish_proficiency_helper,family_irish_proficiency_helper_quantised,has_additional_languages,has_additional_languages_quantised,additional_languages_count_self_report,lang1_name,lang1_proficiency,lang1_proficiency_quantised,lang1_acquisition_timing_duration,lang1_lc_status,lang1_lc_status_quantised,lang1_lc_grade,lang1_lc_grade_quantised,lang1_use_frequency,lang1_use_frequency_quantised,lang2_name,lang2_proficiency,lang2_proficiency_quantised,lang2_acquisition_timing_duration,lang2_lc_status,lang2_lc_status_quantised,lang2_lc_grade,lang2_lc_grade_quantised,lang2_use_frequency,lang2_use_frequency_quantised,lang3_name,lang3_use_frequency,lang3_use_frequency_quantised,lang4_name,lang4_use_frequency,lang4_use_frequency_quantised,primary_school_type,primary_school_type_quantised,secondary_school_type,secondary_school_type_quantised,highest_education,highest_education_quantised,secondary_school_region,secondary_school_region_quantised,lived_abroad,lived_abroad_quantised,years_abroad,abroad_irish_access,abroad_irish_access_quantised,abroad_irish_access_context,attitude_q34,attitude_q34_quantised,attitude_q35,attitude_q35_quantised,attitude_q36,attitude_q36_quantised,linguistic_identity_q49,linguistic_identity_q49_quantised,linguistic_identity_q50,linguistic_identity_q50_quantised,self_rated_attrition_q51,self_rated_attrition_q51_quantised,reconnection_motivation_q52,reconnection_motivation_q52_quantised,current_use_contexts__work,current_use_contexts__social_settings,current_use_contexts__media_or_social_media,current_use_contexts__family,current_use_contexts__other,current_use_contexts__not_applicable,lang1_acquisition_context__formal_classroom_instruction,lang1_acquisition_context__living_or_studying_abroad,lang1_acquisition_context__immersion_program,lang1_acquisition_context__family_or_heritage_learned_at_home,lang1_acquisition_context__self_study,lang1_acquisition_context__other,lang1_use_contexts__work,lang1_use_contexts__social_settings,lang1_use_contexts__media_or_social_media,lang1_use_contexts__family,lang1_use_contexts__other,lang1_use_contexts__not_applicable,lang2_acquisition_context__formal_classroom_instruction,lang2_acquisition_context__living_or_studying_abroad,lang2_acquisition_context__immersion_program,lang2_acquisition_context__family_or_heritage_learned_at_home,lang2_acquisition_context__self_study,lang2_acquisition_context__other,lang2_use_contexts__work,lang2_use_contexts__social_settings,lang2_use_contexts__media_or_social_media,lang2_use_contexts__family,lang2_use_contexts__other,lang2_use_contexts__not_applicable,reconnection_channels__social_media_or_online_communities_e_g_facebook_groups,reconnection_channels__language_apps_e_g_duolingo,reconnection_channels__evening_classes_or_courses,reconnection_channels__conversation_groups_or_meet_ups_e_g_pub_nights,reconnection_channels__trips_to_the_gaeltacht,reconnection_channels__other,reconnection_channels__none_so_far,current_use_contexts,lang1_acquisition_context,lang1_use_contexts,reconnection_channels,lang2_acquisition_context,lang2_use_contexts,consent_given,exposure_composite,integrative_motivation_composite,multilingualism_count,proficiency_used_fallback,proficiency_fallback_self_rated,proficiency_score,attitude_composite,learning_experience_composite,classroom_anxiety_composite,parental_encouragement_composite,linguistic_identity_now_composite,instrumental_motivation_composite,self_rated_attrition,reconnection_motivation,motivation_confidence,current_use_frequency_num,birth_year,primary_school_start_year,curriculum_cohort,n_recall_trials,n_recalled,n_recall_flagged,production_accuracy_pct,n_recognition_trials,n_recognized,n_recognition_flagged,recognition_accuracy_pct,n_recalled_full,n_recognized_only,n_neither
16602613,BLINDED,complete,NA,55,Female,1,Munster,2,"Second language, learned at school",2,4,FALSE,2,NA,FALSE,2,NA,Rarely - a few times a year,2,FALSE,2,NA,TRUE,1,"Yes, in the past — children have since finished school",2,1988,39,Higher level,1,NA,0,NA,B,2,No,2,NA,Daily or almost daily,5,Occasionally,3,Occasionally,3,Rarely,2,Occasionally,3,5,5,3,3,3,3,3,3,5,5,3,3,4,4,4,4,4,4,3,3,1,1,1,1,5,5,5,5,5,5,5,5,5,5,FALSE,2,FALSE,2,Yes,1,2,German,Intermediate,2,1983 to 1988,Higher level,3,B,2,Rarely - a few time a year,2,French,Beginner,1,1983-1988,Higher level,3,B,2,Rarely - a few time a year,2,NA,NA,0,NA,NA,0,English-medium school,2,English-medium school,2,Bachelor's degree,6,Munster,2,TRUE,1,3,No,2,NA,5,5,5,5,5,5,4,4,5,5,3,3,5,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Social settings,Formal classroom instruction; Family or heritage — learned at home; Self-study,Family,Social media or online communities (e.g. Facebook groups); Other,Formal classroom instruction,Social settings,TRUE,3.2,3.5,0,FALSE,NA,80,5,3.75,1,5,4.5,4,3,5,5,2,1971,1975,pre_1999,60,47,5,85.45454545454545,14,9,1,69.23076923076923,47,8,3
16602619,BLINDED,complete,NA,65,Male,2,Munster,2,"Second language, learned at school",2,4,FALSE,2,NA,FALSE,2,NA,Rarely - a few times a year,2,FALSE,2,NA,TRUE,1,No,3,1979,48,Higher level,1,NA,0,NA,B,2,No,2,NA,Often,4,Rarely,2,Rarely,2,Rarely,2,Never,1,2,2,3,3,1,1,2,2,5,5,4,4,3,3,2,2,4,4,2,2,2,2,2,2,3,3,1,1,1,1,1,1,4,4,FALSE,2,FALSE,2,Yes,1,1,french,Intermediate,2,school 5 years,Higher level,3,B,2,Rarely - a few time a year,2,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,English-medium school,2,English-medium school,2,Postgraduate Diploma or Master's degree,7,Leinster,1,TRUE,1,3,No,2,NA,4,4,4,4,4,4,2,2,2,2,4,4,4,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Social settings,Formal classroom instruction,Other,Conversation groups or meet-ups (e.g. pub nights),NA,NA,TRUE,2.2,2,0,FALSE,NA,80,4,2.75,2,1.75,2,4.5,4,4,3,2,1961,1965,pre_1999,60,42,5,76.36363636363637,22,12,2,60,42,8,7
16605479,BLINDED,complete,NA,54,Female,1,Leinster,1,"Second language, learned at school",2,4,FALSE,2,NA,TRUE,1,3 weeks in a summer Gaeltacht in Galway before going into 3rd year of secondary school.,Rarely - a few times a year,2,FALSE,2,NA,TRUE,1,"Yes, in the past — children have since finished school",2,1989,38,Ordinary level,2,NA,0,NA,Do not remember grade,7,No,2,NA,Often,4,Never,1,Never,1,Never,1,Rarely,2,4,4,2,2,3,3,2,2,5,5,5,5,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,5,5,3,3,5,5,FALSE,2,FALSE,2,No,2,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,English-medium school,2,English-medium school,2,Postgraduate Diploma or Master's degree,7,Leinster,1,FALSE,2,NA,NA,0,NA,4,4,5,5,4,4,5,5,5,5,4,4,4,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Family,NA,NA,Language apps (e.g. Duolingo); Evening classes or courses,NA,NA,TRUE,1.8,2.75,0,FALSE,NA,NA,4.333333333333333,2,2.5,3.75,5,5,4,4,2,2,1972,1976,pre_1999,60,36,9,70.58823529411764,34,21,3,67.74193548387098,36,11,10
16602630,BLINDED,complete,NA,52,Female,1,Munster,2,"Second language, learned at school",2,5,FALSE,2,NA,TRUE,1,went to garlteacht once when 14,Often - weekly,4,FALSE,2,NA,FALSE,2,NA,0,1991,36,Ordinary level,2,NA,0,NA,B,2,No,2,NA,Daily or almost daily,5,Rarely,2,Occasionally,3,Rarely,2,Often,4,3,3,1,1,1,1,1,1,5,5,3,3,1,1,1,1,2,2,1,1,4,4,4,4,5,5,3,3,2,2,2,2,5,5,FALSE,2,TRUE,1,Yes,1,1,Spanish,Intermediate,2,2005 for 1 year living in Argentina,Not taken for Leaving Certificate,1,NA,0,Rarely - a few time a year,2,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,English-medium school,2,English-medium school,2,Postgraduate Diploma or Master's degree,7,Leinster,1,TRUE,1,6,No,2,NA,5,5,5,5,5,5,3,3,5,5,4,4,5,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Family,Living or studying abroad,Other,Conversation groups or meet-ups (e.g. pub nights),NA,NA,TRUE,3.2,1.5,0,FALSE,NA,40,5,1.25,4,3,4,4,4,5,5,4,1974,1979,pre_1999,60,32,3,56.14035087719298,33,24,0,72.72727272727273,32,19,9
16602631,BLINDED,complete,NA,63,Female,1,Leinster,1,"Second language, learned at school",2,4,FALSE,2,NA,TRUE,1,3 weeks in Gaeltacht in 2nd year,Rarely - a few times a year,2,FALSE,2,NA,TRUE,1,"Yes, in the past — children have since finished school",2,1981,46,Higher level,1,NA,0,NA,C,3,No,2,NA,Occasionally,3,Rarely,2,Occasionally,3,Never,1,Rarely,2,5,5,4,4,3,3,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,TRUE,1,TRUE,1,No,2,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,English-medium school,2,English-medium school,2,Third-level Certificate or Diploma,5,Leinster,1,FALSE,2,NA,NA,0,NA,4,4,5,5,3,3,3,3,5,5,4,4,3,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Social settings,NA,NA,Social media or online communities (e.g. Facebook groups); Language apps (e.g. Duolingo),NA,NA,TRUE,2.2,3.25,0,FALSE,NA,65,4,4,3,4,4,4,4,3,3,2,1963,1967,pre_1999,60,38,4,67.85714285714285,29,17,2,62.96296296296296,38,12,9
16602608,BLINDED,complete,NA,32,Female,1,Connacht,3,"Second language, learned at school",2,4,FALSE,2,NA,TRUE,1,went to the gealtacht in secondary school in 2nd year and 5th year summers. Also went to a gaelscoil for 3 years in primary school (1st to 3rd class),Rarely - a few times a year,2,FALSE,2,NA,FALSE,2,NA,0,2016,11,Higher level,1,NA,0,NA,B,2,No,2,NA,Rarely,2,Rarely,2,Rarely,2,Rarely,2,Rarely,2,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,3,3,1,1,1,1,5,5,5,5,4,4,3,3,4,4,FALSE,2,FALSE,2,Yes,1,1,Spanish,Intermediate,2,secondary school and aged 26. 7 years total learning,Higher level,3,A,1,Rarely - a few time a year,2,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,Other,3,English-medium school,2,Postgraduate Diploma or Master's degree,7,Leinster,1,TRUE,1,4.5,No,2,NA,5,5,5,5,5,5,2,2,5,5,3,3,3,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Social settings; Family,Formal classroom instruction; Living or studying abroad; Self-study,Media or social media; Other,Language apps (e.g. Duolingo); Conversation groups or meet-ups (e.g. pub nights); Trips to the Gaeltacht,NA,NA,TRUE,2,4.25,0,FALSE,NA,80,5,4.5,1,4,3.5,5,3,3,5,2,1994,1998,transition_1997_2001,60,39,8,75,26,14,3,60.86956521739131,39,9,8
16605481,BLINDED,complete,NA,66,Male,2,Munster,2,"Second language, learned at school",2,5,FALSE,2,NA,FALSE,2,NA,Never,1,FALSE,2,NA,TRUE,1,"Yes, in the past — children have since finished school",2,1978,49,Higher level,1,NA,0,NA,C,3,No,2,NA,Occasionally,3,Never,1,Rarely,2,Rarely,2,Never,1,3,3,2,2,2,2,2,2,5,5,5,5,2,2,2,2,3,3,1,1,4,4,4,4,5,5,2,2,1,1,2,2,4,4,FALSE,2,FALSE,2,No,2,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,English-medium school,2,English-medium school,2,Postgraduate Diploma or Master's degree,7,Munster,2,TRUE,1,11,No,2,NA,4,4,5,5,5,5,2,2,3,3,4,4,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Not applicable,NA,NA,Evening classes or courses,NA,NA,TRUE,1.8,2.25,0,FALSE,NA,65,4.666666666666667,2,4,2.25,2.5,5,4,3,5,1,1960,1965,pre_1999,60,27,5,49.090909090909086,37,27,0,72.97297297297297,27,23,9
16602620,BLINDED,complete,NA,55,Female,1,Connacht,3,"Second language, learned at school",2,4,FALSE,2,NA,TRUE,1,2x 3 weeks in Gaeltacht.  My children attended primary Gaelscoil,Rarely - a few times a year,2,FALSE,2,NA,TRUE,1,"Yes, currently — children still at school",1,1988,39,Higher level,1,NA,0,NA,C,3,No,2,NA,Often,4,Occasionally,3,Never,1,Rarely,2,Occasionally,3,3,3,1,1,2,2,2,2,5,5,4,4,3,3,2,2,4,4,2,2,4,4,2,2,4,4,4,4,4,4,2,2,4,4,TRUE,1,TRUE,1,Yes,1,1,French,Intermediate,2,Secondary school,Higher level,3,B,2,Rarely - a few time a year,2,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,English-medium school,2,English-medium school,2,Postgraduate Diploma or Master's degree,7,Connacht,3,FALSE,2,NA,NA,0,NA,3,3,2,2,2,2,2,2,2,2,4,4,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Other,Formal classroom instruction,Other,None so far,NA,NA,TRUE,2.6,2,0,FALSE,NA,65,2.3333333333333335,2.75,3,3.5,2,4.5,4,1,4,2,1971,1975,pre_1999,60,43,4,76.78571428571429,27,15,3,62.5,43,7,9
16609201,BLINDED,complete,NA,48,Male,2,Munster,2,"Second language, learned at school",2,4,FALSE,2,NA,FALSE,2,NA,Never,1,FALSE,2,NA,FALSE,2,NA,0,1996,31,Ordinary level,2,NA,0,NA,D,4,No,2,NA,Occasionally,3,Never,1,Rarely,2,Never,1,Rarely,2,3,3,2,2,2,2,4,4,2,2,4,4,2,2,2,2,2,2,4,4,2,2,3,3,2,2,3,3,2,2,3,3,2,2,FALSE,2,FALSE,2,No,2,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,NA,0,English-medium school,2,English-medium school,2,Bachelor's degree,6,Munster,2,FALSE,2,NA,NA,0,NA,4,4,4,4,5,5,2,2,3,3,4,4,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Not applicable,NA,NA,None so far,NA,NA,TRUE,1.8,2.75,0,FALSE,NA,10,4.333333333333333,2.5,2.5,2.5,2.5,3,4,4,2,1,1978,1982,pre_1999,60,20,8,38.46153846153847,45,15,3,35.71428571428571,20,12,24
16602623,BLINDED,complete,NA,64,Male,2,Munster,2,"Second language, learned at school",2,4,FALSE,2,NA,TRUE,1,"one summer, a one-month residential course at 14. Some teachers spoke Irish conversationally",Often - weekly,4,FALSE,2,NA,TRUE,1,"Yes, in the past — children have since finished school",2,1980,47,Higher level,1,NA,0,NA,C,3,No,2,NA,Daily or almost daily,5,Often,4,Often,4,Occasionally,3,Occasionally,3,5,5,2,2,3,3,4,4,4,4,3,3,2,2,2,2,3,3,2,2,3,3,2,2,3,3,3,3,2,2,2,2,4,4,FALSE,2,FALSE,2,Yes,1,2,french,Intermediate,2,5 years,Higher level,3,D,4,Rarely - a few time a year,2,arabic,Beginner,1,3 yrs,Not taken for Leaving Certificate,1,NA,0,Rarely - a few time a year,2,NA,NA,0,NA,NA,0,English-medium school,2,English-medium school,2,Postgraduate Diploma or Master's degree,7,Connacht,3,TRUE,1,13,Yes,1,"london has a big irish community - i attended music sessions etc and socialised with irish people
i worked in sudan with irish colleague",5,5,4,4,3,3,4,4,4,4,1,1,4,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Social settings; Media or social media; Family,Formal classroom instruction,Social settings,Social media or online communities (e.g. Facebook groups); Conversation groups or meet-ups (e.g. pub nights),Living or studying abroad,Social settings,TRUE,3.8,3.5,0,FALSE,NA,65,4,2.25,2.5,2.75,4,3.5,1,4,3,4,1962,1966,pre_1999,60,50,5,90.9090909090909,17,10,3,71.42857142857143,50,6,2
