participant_id,item_id,category,word_length,freq_rank,retention_level,recall_expected_answer,recall_response,recall_correct_gorilla,recognition_expected_answer,recognition_response,recognition_correct_gorilla,proficiency_score,exposure_composite,integrative_motivation_composite,multilingualism_count
16602608,1,concrete_noun,5,79,2,teach,teach,1,NA,NA,NA,80,2,4.25,0
16602608,2,concrete_noun,4,92,1,bean,mná,0,woman,woman,1,80,2,4.25,0
16602608,3,concrete_noun,5,107,2,scoil,scoil,1,NA,NA,NA,80,2,4.25,0
16602608,4,concrete_noun,7,139,2,leabhar,leabhar,1,NA,NA,NA,80,2,4.25,0
16602608,5,concrete_noun,4,144,2,lámh,lámh,1,NA,NA,NA,80,2,4.25,0
16602608,6,concrete_noun,7,157,2,airgead,airgead,1,NA,NA,NA,80,2,4.25,0
16602608,7,concrete_noun,4,158,2,béal,bheal,0,mouth,mouth,1,80,2,4.25,0
16602608,8,concrete_noun,5,217,2,uisce,uisce,1,NA,NA,NA,80,2,4.25,0
16602608,9,concrete_noun,6,220,0,oileán,inis,0,island,NA,0,80,2,4.25,0
16602608,10,concrete_noun,7,238,0,cathair,bhaile,0,city,NA,0,80,2,4.25,0
16602608,11,concrete_noun,5,243,2,doras,doras,1,NA,NA,NA,80,2,4.25,0
16602608,12,concrete_noun,3,249,2,cos,cos,1,NA,NA,NA,80,2,4.25,0
16602608,13,concrete_noun,4,258,2,croí,croí,1,NA,NA,NA,80,2,4.25,0
16602608,14,concrete_noun,9,310,2,múinteoir,muinteoir,1,NA,NA,NA,80,2,4.25,0
16602608,15,concrete_noun,3,384,2,bia,bia,1,NA,NA,NA,80,2,4.25,0
16602608,16,abstract_noun,6,39,2,bliain,bliain,1,NA,NA,NA,80,2,4.25,0
16602608,17,abstract_noun,2,59,2,lá,lá,1,NA,NA,NA,80,2,4.25,0
16602608,18,abstract_noun,5,72,2,taobh,taobh,1,NA,NA,NA,80,2,4.25,0
16602608,19,abstract_noun,5,83,2,scéal,sceal,1,NA,NA,NA,80,2,4.25,0
16602608,20,abstract_noun,3,84,2,tír,tir,1,NA,NA,NA,80,2,4.25,0
16602608,21,abstract_noun,4,85,0,saol,NA,0,lifetime,life,0,80,2,4.25,0
16602608,22,abstract_noun,5,89,2,ceist,ceist,1,NA,NA,NA,80,2,4.25,0
16602608,23,abstract_noun,6,115,2,teanga,teanga,1,NA,NA,NA,80,2,4.25,0
16602608,24,abstract_noun,5,126,2,oíche,oiche,1,NA,NA,NA,80,2,4.25,0
16602608,25,abstract_noun,4,127,0,aire,NA,0,care/attention,luck,0,80,2,4.25,0
16602608,26,abstract_noun,5,132,1,eolas,NA,0,knowledge,knowledge,0,80,2,4.25,0
16602608,27,abstract_noun,9,142,2,seachtain,seactai,0,week,week,1,80,2,4.25,0
16602608,28,abstract_noun,6,278,2,aimsir,aimsir,1,NA,NA,NA,80,2,4.25,0
16602608,29,abstract_noun,5,381,2,gaoth,gaoi,0,wind,wind,1,80,2,4.25,0
16602608,30,abstract_noun,4,456,2,dath,dath,1,NA,NA,NA,80,2,4.25,0
16602608,31,verb,4,17,2,cuir,cur,0,to put,put,0,80,2,4.25,0
16602608,32,verb,4,20,1,déan,deanamh,0,to do,do,0,80,2,4.25,0
16602608,33,verb,7,24,1,tabhair,NA,0,to give/grant,give,0,80,2,4.25,0
16602608,34,verb,3,33,2,tar,tar,1,NA,NA,NA,80,2,4.25,0
16602608,35,verb,5,36,1,faigh,fuair,0,to get/receive,get,0,80,2,4.25,0
16602608,36,verb,5,41,1,téigh,dul,0,to go,go,0,80,2,4.25,0
16602608,37,verb,4,76,NA,feic,feach,0,to see,look,0,80,2,4.25,0
16602608,38,verb,4,88,0,féad,in ann,0,to be able to,able,0,80,2,4.25,0
16602608,39,verb,6,101,0,éirigh,faidh suas,0,to get up/to rise,NA,0,80,2,4.25,0
16602608,40,verb,4,119,0,iarr,ag cur ceist,0,to ask,go,0,80,2,4.25,0
16602608,41,verb,5,133,1,imigh,fag,0,to leave/go away,go away,0,80,2,4.25,0
16602608,42,verb,4,136,1,lean,NA,0,to follow,follow,0,80,2,4.25,0
16602608,43,verb,7,140,2,scríobh,scriobh,1,NA,NA,NA,80,2,4.25,0
16602608,44,verb,5,163,NA,siúil,ag suil,0,to walk,see,0,80,2,4.25,0
16602608,45,verb,7,203,2,tosaigh,tosaigh,1,NA,NA,NA,80,2,4.25,0
16602608,46,adjective,5,80,2,ceart,ceart,1,NA,NA,NA,80,2,4.25,0
16602608,47,adjective,2,98,2,te,te,1,NA,NA,NA,80,2,4.25,0
16602608,48,adjective,2,121,2,óg,og,1,NA,NA,NA,80,2,4.25,0
16602608,49,adjective,4,137,2,fada,fada,1,NA,NA,NA,80,2,4.25,0
16602608,50,adjective,3,154,2,ard,ard,1,NA,NA,NA,80,2,4.25,0
16602608,51,adjective,6,212,NA,iomlán,lán,0,full,NA,0,80,2,4.25,0
16602608,52,adjective,4,305,2,fíor,fir,0,true,true,1,80,2,4.25,0
16602608,53,adjective,5,315,NA,gearr,beag,0,short,NA,0,80,2,4.25,0
16602608,54,adjective,6,339,2,láidir,laidir,1,NA,NA,NA,80,2,4.25,0
16602608,55,adjective,3,364,2,beo,beo,1,NA,NA,NA,80,2,4.25,0
16602608,56,adjective,5,370,2,bocht,bocht,1,NA,NA,NA,80,2,4.25,0
16602608,57,adjective,7,407,1,iontach,an mhaith,0,great,great,1,80,2,4.25,0
16602608,58,adjective,4,432,2,glan,glan,1,NA,NA,NA,80,2,4.25,0
16602608,59,adjective,3,461,0,bog,NA,0,soft,move,0,80,2,4.25,0
16602608,60,adjective,4,706,2,sean,sean,1,NA,NA,NA,80,2,4.25,0
16602609,1,concrete_noun,5,79,2,teach,teach,1,NA,NA,NA,55,3,1.5,2
16602609,2,concrete_noun,4,92,2,bean,bean,1,NA,NA,NA,55,3,1.5,2
16602609,3,concrete_noun,5,107,2,scoil,scoil,1,NA,NA,NA,55,3,1.5,2
16602609,4,concrete_noun,7,139,2,leabhar,leabhair,0,book,book,1,55,3,1.5,2
16602609,5,concrete_noun,4,144,1,lámh,NA,0,hand,hand,1,55,3,1.5,2
16602609,6,concrete_noun,7,157,2,airgead,arigead,0,money,money,1,55,3,1.5,2
16602609,7,concrete_noun,4,158,2,béal,beal,1,NA,NA,NA,55,3,1.5,2
16602609,8,concrete_noun,5,217,2,uisce,uisce,1,NA,NA,NA,55,3,1.5,2
16602609,9,concrete_noun,6,220,1,oileán,NA,0,island,island,0,55,3,1.5,2
16602609,10,concrete_noun,7,238,2,cathair,cathair,1,NA,NA,NA,55,3,1.5,2
16602609,11,concrete_noun,5,243,2,doras,doras,1,NA,NA,NA,55,3,1.5,2
16602609,12,concrete_noun,3,249,1,cos,NA,0,leg,leg,1,55,3,1.5,2
16602609,13,concrete_noun,4,258,1,croí,chroist,0,heart,heart,1,55,3,1.5,2
16602609,14,concrete_noun,9,310,2,múinteoir,muinteoi,0,teacher,teacher,1,55,3,1.5,2
16602609,15,concrete_noun,3,384,1,bia,itheam,0,food,food,1,55,3,1.5,2
16602609,16,abstract_noun,6,39,2,bliain,blian,0,year,food,0,55,3,1.5,2
16602609,17,abstract_noun,2,59,2,lá,lá,1,NA,NA,NA,55,3,1.5,2
16602609,18,abstract_noun,5,72,0,taobh,NA,0,side (noun),give,0,55,3,1.5,2
16602609,19,abstract_noun,5,83,2,scéal,sceal,1,NA,NA,NA,55,3,1.5,2
16602609,20,abstract_noun,3,84,2,tír,tir,1,NA,NA,NA,55,3,1.5,2
16602609,21,abstract_noun,4,85,0,saol,NA,0,lifetime,life,0,55,3,1.5,2
